AFFGEOID,NAME,POPEST_2017
0500000US13027,"Brooks County, Georgia",15587
0500000US13029,"Bryan County, Georgia",37060
0500000US13031,"Bulloch County, Georgia",76149
0500000US13033,"Burke County, Georgia",22522
0500000US13035,"Butts County, Georgia",24059
0500000US13037,"Calhoun County, Georgia",6455
0500000US13039,"Camden County, Georgia",53044
0500000US13043,"Candler County, Georgia",10797
0500000US13045,"Carroll County, Georgia",117812
0500000US13047,"Catoosa County, Georgia",66550
0500000US13049,"Charlton County, Georgia",12715
0500000US13051,"Chatham County, Georgia",290501
0500000US13053,"Chattahoochee County, Georgia",10343
0500000US13055,"Chattooga County, Georgia",24770
0500000US13057,"Cherokee County, Georgia",247573
0500000US13059,"Clarke County, Georgia",127064
0500000US13061,"Clay County, Georgia",2962
0500000US13063,"Clayton County, Georgia",285153
0500000US13065,"Clinch County, Georgia",6727
0500000US13067,"Cobb County, Georgia",755754
0500000US13069,"Coffee County, Georgia",43014
0500000US13071,"Colquitt County, Georgia",45835
0500000US13073,"Columbia County, Georgia",151579
0500000US13075,"Cook County, Georgia",17277
0500000US13077,"Coweta County, Georgia",143114
0500000US13079,"Crawford County, Georgia",12295
0500000US13081,"Crisp County, Georgia",22736
0500000US13083,"Dade County, Georgia",16285
0500000US13085,"Dawson County, Georgia",24379
0500000US13087,"Decatur County, Georgia",26716
0500000US13089,"DeKalb County, Georgia",753253
0500000US13091,"Dodge County, Georgia",20730
0500000US13093,"Dooly County, Georgia",13737
0500000US13095,"Dougherty County, Georgia",89502
0500000US13097,"Douglas County, Georgia",143882
0500000US13099,"Early County, Georgia",10296
0500000US13101,"Echols County, Georgia",3936
0500000US13103,"Effingham County, Georgia",59982
0500000US13105,"Elbert County, Georgia",19109
0500000US13107,"Emanuel County, Georgia",22530
0500000US13109,"Evans County, Georgia",10775
0500000US13111,"Fannin County, Georgia",25322
0500000US13113,"Fayette County, Georgia",112549
0500000US13115,"Floyd County, Georgia",97613
0500000US13117,"Forsyth County, Georgia",227967
0500000US13119,"Franklin County, Georgia",22820
0500000US13121,"Fulton County, Georgia",1041423
0500000US13123,"Gilmer County, Georgia",30674
0500000US13125,"Glascock County, Georgia",3062
0500000US13127,"Glynn County, Georgia",85282
0500000US13129,"Gordon County, Georgia",57089
0500000US13131,"Grady County, Georgia",24819
0500000US13133,"Greene County, Georgia",17281
0500000US13135,"Gwinnett County, Georgia",920260
0500000US13137,"Habersham County, Georgia",44567
0500000US13139,"Hall County, Georgia",199335
0500000US13141,"Hancock County, Georgia",8561
0500000US13143,"Haralson County, Georgia",29256
0500000US13145,"Harris County, Georgia",33915
0500000US13147,"Hart County, Georgia",25794
0500000US13149,"Heard County, Georgia",11730
0500000US13151,"Henry County, Georgia",225813
0500000US13153,"Houston County, Georgia",153479
0500000US13155,"Irwin County, Georgia",9410
0500000US13157,"Jackson County, Georgia",67519
0500000US13159,"Jasper County, Georgia",13964
0500000US13161,"Jeff Davis County, Georgia",15025
0500000US13163,"Jefferson County, Georgia",15648
0500000US13165,"Jenkins County, Georgia",8767
0500000US13167,"Johnson County, Georgia",9788
0500000US13169,"Jones County, Georgia",28470
0500000US13171,"Lamar County, Georgia",18599
0500000US13173,"Lanier County, Georgia",10425
0500000US13175,"Laurens County, Georgia",47330
0500000US13177,"Lee County, Georgia",29470
0500000US13179,"Liberty County, Georgia",61386
0500000US13181,"Lincoln County, Georgia",7880
0500000US13183,"Long County, Georgia",19014
0500000US13185,"Lowndes County, Georgia",115489
0500000US13187,"Lumpkin County, Georgia",32873
0500000US13189,"McDuffie County, Georgia",21498
0500000US13191,"McIntosh County, Georgia",14106
0500000US13193,"Macon County, Georgia",13314
0500000US13195,"Madison County, Georgia",29302
0500000US13197,"Marion County, Georgia",8450
0500000US13199,"Meriwether County, Georgia",21049
0500000US13201,"Miller County, Georgia",5838
0500000US13205,"Mitchell County, Georgia",22292
0500000US13207,"Monroe County, Georgia",27113
0500000US13209,"Montgomery County, Georgia",9031
0500000US13211,"Morgan County, Georgia",18412
0500000US13213,"Murray County, Georgia",39782
0500000US13215,"Muscogee County, Georgia",194058
0500000US13217,"Newton County, Georgia",108078
0500000US13219,"Oconee County, Georgia",38028
0500000US13221,"Oglethorpe County, Georgia",14877
0500000US13223,"Paulding County, Georgia",159445
0500000US13225,"Peach County, Georgia",27099
0500000US13227,"Pickens County, Georgia",31588
0500000US13229,"Pierce County, Georgia",19307
0500000US13231,"Pike County, Georgia",18217
0500000US13233,"Polk County, Georgia",42085
0500000US13235,"Pulaski County, Georgia",11201
0500000US13237,"Putnam County, Georgia",21730
0500000US13239,"Quitman County, Georgia",2358
0500000US13241,"Rabun County, Georgia",16602
0500000US13243,"Randolph County, Georgia",7075
